Customer ID,Churn Label,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason
8785ENDQ,No,1,2,6,0,0,No,no,0,0,0,No,0,AZ,8559474130,Male,34,No,No,No,0,No,Month-to-Month,Direct Debit,11,11,,
0640LNBK,No,1,2,7,0,0,No,no,0,0,4,Yes,0,OK,8625604088,Male,76,No,Yes,No,0,No,One Year,Direct Debit,29,29,,
4782CHZM,No,73,162,435.5,0,0,No,no,0,0,7,Yes,0,GA,8165325552,Female,58,No,No,No,0,No,Two Year,Direct Debit,43,3121,,
1380YANO,No,47,264,759,0,0,No,no,0,0,23,Yes,0,MA,9175136717,Female,21,Yes,No,No,0,Yes,Month-to-Month,Credit Card,41,1926,,
2754HZFE,No,10,46,105.6,0,0,No,no,0,0,2,Yes,0,GA,7191349894,Male,51,No,No,No,0,No,One Year,Credit Card,27,262,,
4676RXAH,No,70,187,422.5,1050,1022,Yes,yes,0,0,5,No,36,MD,7469612003,Female,56,No,No,No,0,No,Two Year,Credit Card,24,1676,,
6145MBHF,No,20,40,141.1,0,0,No,no,0,0,0,No,0,AR,7466884966,Female,28,Yes,No,No,0,No,One Year,Credit Card,9,180,,
5992ZZKY,No,61,229,487.1,0,0,No,no,0,0,6,Yes,0,ID,7211085580,Female,39,No,No,No,0,Yes,Two Year,Credit Card,52,3151,,
8539DXRY,No,13,34,103,0,0,No,no,0,0,7,Yes,0,WI,8339305162,Female,41,No,No,No,0,No,Month-to-Month,Direct Debit,32,417,,
7420TFLD,No,46,234,554.8,0,0,No,no,0,0,6,Yes,0,OR,8102112078,Female,53,No,No,No,0,No,Month-to-Month,Direct Debit,28,1316,,
0346QDGF,No,2,10,17.7,0,0,No,no,0,0,24,Yes,0,MI,9058024653,Male,22,Yes,No,No,0,No,Month-to-Month,Credit Card,21,41,,
1564AAIM,No,53,409,846.2,0,0,No,no,0,0,37,Yes,0,ID,7630439123,Male,25,Yes,No,No,0,No,Two Year,Credit Card,51,2680,,
8995MKVE,No,66,204,397.9,0,0,No,no,0,0,3,No,16,WY,7607302336,Female,62,No,No,No,0,Yes,Two Year,Credit Card,35,2351,,
5708KVWR,No,43,86,255.2,0,0,No,no,0,0,7,Yes,0,IA,9643013920,Female,69,No,Yes,No,0,No,One Year,Direct Debit,41,1761,,
6307TNXU,No,25,72,227,0,0,No,no,0,0,1,Yes,0,VA,8102996002,Female,63,No,No,No,0,No,One Year,Credit Card,32,799,,
7343GNPD,No,60,233,595.4,0,0,No,no,0,0,8,Yes,0,WY,8808128266,Female,77,No,Yes,No,0,Yes,One Year,Credit Card,44,2639,,
8190LOMP,No,63,128,316.7,0,0,No,no,0,0,3,Yes,0,CO,9534636649,Female,43,No,No,No,0,No,One Year,Credit Card,47,2999,,
9766ZUAF,No,65,241,456.7,0,0,No,no,0,0,2,Yes,0,CO,7292666388,Male,82,No,Yes,No,0,Yes,One Year,Direct Debit,64,4167,,
0521NSRI,No,36,88,179.2,0,0,No,no,0,0,0,No,0,WI,8332088482,Female,59,No,No,No,0,No,Two Year,Credit Card,12,440,,
1260SRKC,No,73,460,1022.8,0,0,No,no,0,0,7,No,33,OK,8440812249,Female,43,No,No,No,0,Yes,Two Year,Credit Card,37,2702,,
5130MPZE,No,47,178,421.5,0,0,No,no,0,0,4,Yes,0,ID,7658931066,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,48,2254,,
7466XCMA,Yes,61,107,242.5,0,0,No,no,0,0,13,Yes,0,CA,9007004587,Male,29,Yes,No,No,0,No,Month-to-Month,Direct Debit,45,2717,,
2267OQZH,No,70,187,492.5,0,0,No,no,0,0,9,Yes,0,MN,9226350547,Male,35,No,No,No,0,Yes,Two Year,Direct Debit,24,1715,,
9314HLWC,No,18,36,123.2,0,0,No,no,0,0,1,Yes,0,SD,7153439294,Female,46,No,No,No,0,Yes,One Year,Credit Card,19,342,,
5957MTAG,No,3,6,16.2,0,0,No,no,0,0,5,Yes,0,WA,8740502064,Female,51,No,No,No,0,No,Month-to-Month,Direct Debit,46,149,,
6076RCCT,No,46,300,740.2,184,427.8,Yes,yes,0,0,15,Yes,0,WY,7437983122,Male,35,No,No,No,0,No,One Year,Direct Debit,50,2325,,
0476UFII,No,32,64,126.1,256,265.6,Yes,yes,0,0,9,No,32,MN,8494125596,Female,59,No,No,No,0,Yes,Two Year,Credit Card,30,960,,
9560DMCL,No,46,118,369.6,0,0,No,no,0,0,0,No,0,UT,7360661181,Female,40,No,No,No,0,No,Two Year,Direct Debit,12,543,,
5297BENZ,No,11,81,166.7,0,0,No,no,0,0,14,Yes,0,TX,7713805898,Male,29,Yes,No,No,0,Yes,Month-to-Month,Credit Card,48,537,,
8822KJPV,No,1,4,14,0,0,No,no,0,0,3,Yes,0,NJ,7333248915,Male,42,No,No,No,0,No,Month-to-Month,Credit Card,27,27,,
5559DOEH,No,53,228,695,0,0,No,no,0,0,0,No,0,MN,9925419515,Female,24,Yes,No,No,0,No,One Year,Direct Debit,7,372,,
0544HTAB,No,64,94,254.4,0,0,No,no,0,0,5,Yes,0,NM,9809874899,Male,76,No,Yes,No,0,Yes,Two Year,Direct Debit,60,3811,,
1633FVON,No,59,300,587.5,0,0,No,no,0,0,0,No,0,NV,7871323972,Male,39,No,No,No,0,No,Two Year,Direct Debit,11,674,,
1299WYLC,No,56,168,500,0,0,No,no,0,0,10,Yes,0,MN,7849495885,Female,70,No,Yes,No,0,Yes,One Year,Direct Debit,61,3397,,
1712GSRD,No,48,251,724.8,0,0,No,no,0,0,4,Yes,0,DC,7504585901,Female,54,No,No,No,0,No,One Year,Credit Card,30,1434,,
9518SUYQ,No,28,108,282.4,0,0,No,no,0,0,1,Yes,0,MN,8604238807,Male,85,No,Yes,No,0,No,One Year,Direct Debit,28,796,,
2605TOXT,No,47,116,281.8,0,0,No,no,0,0,0,No,0,MD,9723834603,Female,47,No,No,No,0,No,One Year,Credit Card,16,755,,
3733EZWS,No,42,96,291.8,0,0,No,no,0,0,9,No,51,GA,9987993621,Female,37,No,No,No,0,Yes,Month-to-Month,Direct Debit,59,2452,,
6341KAZD,No,48,96,289.8,0,0,No,no,0,0,0,No,0,TX,7574708743,Female,34,No,No,No,0,No,Two Year,Direct Debit,7,340,,
9484NQCR,No,9,45,148,0,0,No,no,0,0,14,Yes,0,VT,9514408434,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,47,439,,
6102OALZ,No,36,248,534.7,0,0,No,no,0,0,6,Yes,0,IN,8252892779,Female,55,No,No,No,0,No,One Year,Direct Debit,22,786,,
9351ELBM,No,51,292,767.8,0,0,No,no,0,0,0,No,0,WV,9709133474,Female,24,Yes,No,No,0,No,Two Year,Direct Debit,12,638,,
7023YWYM,No,46,145,325.3,0,0,No,no,0,0,0,No,0,KY,8401846854,Female,60,No,No,No,0,No,Two Year,Credit Card,13,616,,
0993JKUA,No,30,67,179.4,0,0,No,no,0,0,4,Yes,0,NJ,9661084625,Male,46,No,No,No,0,No,Month-to-Month,Credit Card,19,577,,
1629PDTQ,No,1,3,7,0,0,No,no,0,0,0,Yes,0,LA,8287544536,Male,76,No,Yes,No,0,No,One Year,Direct Debit,42,42,,
3558BXMZ,No,68,254,612.2,0,0,No,no,0,0,9,Yes,0,AR,7845930252,Male,61,No,No,No,0,Yes,Two Year,Credit Card,47,3187,,
0388CPEE,No,64,274,768,0,0,No,no,0,0,7,Yes,0,ME,8494231674,Female,48,No,No,No,0,Yes,Month-to-Month,Credit Card,48,3049,,
2562HWYM,No,74,407,1108.9,0,0,No,no,0,0,3,Yes,0,AZ,9980625346,Male,56,No,No,No,0,Yes,Two Year,Direct Debit,44,3237,,
3797KBSC,No,71,136,355.2,0,0,No,no,0,0,13,Yes,0,MT,9944413896,Male,48,No,No,No,0,No,One Year,Credit Card,31,2180,,
8928KDDO,No,53,146,316.3,0,0,No,no,0,0,0,No,0,MS,9560474541,Male,66,No,Yes,No,0,No,Two Year,Direct Debit,7,372,,
5582SNME,No,1,5,12,0,0,No,no,0,0,0,No,0,IA,7843792801,Male,19,Yes,No,No,0,No,Month-to-Month,Credit Card,12,12,,
7652MWGQ,No,38,197,417.5,0,0,No,no,0,0,11,Yes,0,VT,7726843633,Male,33,No,No,No,0,Yes,One Year,Direct Debit,63,2392,,
9413CTHP,No,66,349,864,0,0,No,no,0,0,3,Yes,0,KY,8955461748,Female,69,No,Yes,No,0,Yes,One Year,Direct Debit,26,1739,,
1874MSLN,No,4,11,33,0,0,No,no,0,0,4,Yes,0,AZ,9372237628,Male,34,No,No,No,0,No,Month-to-Month,Credit Card,15,63,,
4455SIDH,No,70,236,701.2,0,0,No,no,0,0,12,Yes,0,MI,8414088576,Female,27,Yes,No,No,0,No,One Year,Direct Debit,66,4593,,
1457BNEN,No,31,213,400,0,0,No,no,0,0,4,Yes,0,NM,7749363110,Female,58,No,No,No,0,No,One Year,Credit Card,13,407,,
2274VJTM,No,42,195,457.2,0,0,No,no,0,0,4,Yes,0,CO,7951703428,Male,54,No,No,No,0,No,One Year,Credit Card,62,2556,,
2030STOC,No,70,199,491.9,0,0,No,no,0,0,0,No,0,UT,7697445243,Male,37,No,No,No,0,No,Two Year,Credit Card,12,875,,
0334QKJY,No,52,222,577.5,0,0,No,no,0,0,2,Yes,0,MA,8016820749,Female,38,No,No,No,0,Yes,One Year,Credit Card,37,1939,,
8840GNVV,No,43,211,474.6,0,0,No,no,0,0,6,Yes,0,AL,8377686344,Female,35,No,No,No,0,Yes,Month-to-Month,Direct Debit,57,2451,,
8778MXAA,No,63,249,564.3,0,0,No,no,0,0,6,Yes,0,AZ,9672404319,Female,51,No,No,No,0,No,Two Year,Direct Debit,27,1699,,
6377YEVD,No,36,235,399,0,0,No,no,0,0,9,Yes,0,NJ,8066169132,Female,65,No,Yes,No,0,No,Two Year,Direct Debit,11,410,,
0111ULQC,No,40,118,242.7,0,0,No,no,0,0,0,No,0,MO,7693108173,Female,51,No,No,No,0,No,Two Year,Credit Card,13,525,,
0921JRAS,No,55,89,276.3,0,0,No,no,0,0,24,Yes,0,NE,9828873393,Female,27,Yes,No,No,0,Yes,One Year,Credit Card,39,2146,,
4190OQWW,No,5,34,76.3,0,0,No,no,0,0,0,No,0,TX,9214158084,Female,34,No,No,No,0,No,Month-to-Month,Credit Card,10,56,,
1772EVXU,No,34,85,306.3,0,0,No,no,0,0,5,Yes,0,AZ,8076022300,Male,57,No,No,No,0,No,Two Year,Direct Debit,44,1497,,
4640ROSI,No,73,542,1171.3,0,0,No,no,0,0,0,No,0,MS,8906649409,Male,49,No,No,No,0,No,Two Year,Direct Debit,13,946,,
7232MRQS,No,1,6,13,0,0,No,no,0,0,0,No,0,TX,8251306684,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,13,13,,
1736FGSI,No,71,296,706,0,0,No,no,0,0,7,Yes,0,NE,9392210300,Male,78,No,Yes,No,0,No,One Year,Direct Debit,29,2045,,
1908BNLT,No,14,58,127.3,0,0,No,no,0,0,7,Yes,0,NE,7718176524,Female,48,No,No,No,0,No,Month-to-Month,Direct Debit,35,502,,
9998OFMS,No,64,263,644.9,0,0,No,no,0,0,3,Yes,0,NJ,9688299862,Male,64,No,No,No,0,No,Two Year,Direct Debit,32,2034,,
4988DNKW,No,46,164,416.1,138,515.2,Yes,yes,0,0,0,No,0,AL,9100695443,Female,41,No,No,No,0,No,Two Year,Credit Card,17,768,,
8781YXBL,No,24,131,355.7,0,0,No,no,0,0,11,Yes,0,NY,9958090795,Female,40,No,No,No,0,No,Month-to-Month,Direct Debit,28,672,,
4923PXAV,No,63,211,506,0,0,No,no,0,0,0,No,0,FL,8505823082,Female,23,Yes,No,No,0,No,Two Year,Credit Card,9,595,,
1867FBPS,No,60,210,537.5,0,0,No,no,0,0,0,No,0,AK,9279398684,Male,62,No,No,No,0,No,Two Year,Credit Card,13,754,,
5088QWNF,No,73,265,729.8,0,0,No,no,0,0,3,Yes,0,DE,7513701105,Female,68,No,Yes,No,0,Yes,Two Year,Credit Card,38,2808,,
5570GABM,No,59,152,354.6,0,0,No,no,0,0,11,Yes,0,MI,7407858851,Female,38,No,No,No,0,No,Two Year,Direct Debit,59,3479,,
4316MSBV,No,63,84,313.7,0,0,No,no,0,0,4,Yes,0,VT,7649479748,Male,33,No,No,No,0,No,One Year,Credit Card,40,2535,,
1501UIMO,No,73,124,366.6,511,1029.3,Yes,yes,0,0,0,No,0,VT,7597330723,Male,70,No,Yes,No,0,No,Two Year,Direct Debit,8,621,,
5637EXFL,No,65,121,259.1,0,0,No,no,0,0,3,Yes,0,MI,9091137078,Female,54,No,No,No,0,No,Two Year,Credit Card,55,3552,,
9631SNXG,No,3,4,12.5,0,0,No,no,0,0,0,No,0,WA,7881813349,Male,45,No,No,No,0,No,One Year,Credit Card,9,27,,
9797UVHV,No,30,146,329.1,0,0,No,no,0,0,1,No,0,LA,9776151018,Male,50,No,No,No,0,Yes,One Year,Credit Card,42,1259,,
6677UAIY,No,73,170,366.6,0,0,No,no,0,0,16,Yes,0,OH,8244976164,Female,29,Yes,No,No,0,Yes,One Year,Credit Card,36,2676,,
3213OZLH,No,61,211,484.6,0,0,No,no,0,0,6,Yes,0,RI,8651899248,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,32,1956,,
9462HMVN,No,22,115,281.5,0,0,No,no,0,0,8,No,34,OH,8278501630,Female,25,Yes,No,No,0,No,Month-to-Month,Direct Debit,43,924,,
6951KCHP,No,21,103,270.9,0,0,No,no,0,0,0,No,0,VA,8842138407,Male,36,No,No,No,0,No,One Year,Credit Card,8,169,,
0603QZRV,No,16,85,239.1,0,0,No,no,0,0,9,Yes,0,MO,8818724200,Male,41,No,No,No,0,Yes,Two Year,Credit Card,24,386,,
1476JLHH,No,10,77,137.1,0,0,No,no,0,0,0,No,0,FL,7562964567,Male,43,No,No,No,0,No,Two Year,Direct Debit,15,142,,
4549UHYE,No,2,4,11.6,0,0,No,no,0,0,2,Yes,0,IA,9672764560,Female,52,No,No,No,0,No,Month-to-Month,Direct Debit,35,68,,
3163BOSK,No,54,330,642.7,0,0,No,no,0,0,1,Yes,0,MI,8658296744,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,43,2293,,
2547NBGO,No,11,84,159,0,0,No,no,0,0,0,No,0,OK,8949994449,Female,21,Yes,No,No,0,No,One Year,Credit Card,10,117,,
5341UWGY,No,69,248,753.7,0,0,No,no,0,0,0,No,0,DE,8759749164,Male,43,No,No,No,0,No,Two Year,Credit Card,10,695,,
9859GGCF,No,70,342,913.1,0,0,No,no,0,0,6,Yes,0,DC,8659196371,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,52,3654,,
4822HGQI,No,42,151,336.1,0,0,No,no,0,0,11,Yes,0,CO,9943514942,Male,59,No,No,No,0,Yes,One Year,Direct Debit,42,1778,,
9331EMHQ,No,14,25,72.1,0,0,No,no,0,0,8,Yes,0,NM,8840054503,Male,51,No,No,No,0,Yes,Two Year,Credit Card,54,780,,
1022MXDZ,No,32,145,350.4,0,0,No,no,0,0,0,No,0,LA,8003768282,Female,59,No,No,No,0,No,One Year,Direct Debit,12,372,,
8362WLIZ,No,32,58,126.3,0,0,No,no,0,0,0,No,0,NE,8828019422,Prefer not to say,53,No,No,No,0,No,Month-to-Month,Direct Debit,10,319,,
1723BADW,No,61,298,792,0,0,No,no,0,0,0,No,0,KS,9555946511,Male,24,Yes,No,No,0,No,One Year,Credit Card,9,543,,
7529FNNU,No,1,7,10,0,0,No,no,0,0,21,Yes,0,AK,8672827517,Female,25,Yes,No,No,0,No,Month-to-Month,Credit Card,22,22,,
3212TFMM,No,33,75,262.6,0,0,No,no,0,0,8,Yes,0,NH,7894117841,Male,38,No,No,No,0,Yes,One Year,Credit Card,43,1411,,
2593RBZA,No,20,135,237.2,0,0,No,no,0,0,9,Yes,0,NY,8350970849,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,34,669,,
0696BYCU,No,3,17,43.2,0,0,No,no,0,0,30,Yes,0,AZ,9310604187,Male,21,Yes,No,No,0,No,Month-to-Month,Direct Debit,17,45,,
4944CIHW,No,12,103,199.3,0,0,No,no,0,0,0,No,0,WY,8984818762,Female,59,No,No,No,0,No,One Year,Direct Debit,12,147,,
4245YWPM,No,42,236,630.5,0,0,No,no,0,0,12,Yes,0,WA,8686271908,Female,66,No,Yes,No,0,No,Month-to-Month,Credit Card,36,1533,,
2095XLTB,No,44,188,397.2,0,0,No,no,0,0,26,Yes,0,CO,8386301924,Male,24,Yes,No,No,0,No,One Year,Credit Card,25,1102,,
5985QISQ,No,70,170,557.1,0,0,No,no,0,0,0,No,0,KY,7918385255,Female,41,No,No,No,0,No,Two Year,Direct Debit,9,616,,
7789ZPFF,No,74,520,1111.6,0,0,No,no,0,0,2,Yes,0,MT,8565270818,Female,41,No,No,No,0,Yes,Two Year,Credit Card,41,3059,,
9712UUEV,No,62,137,370.8,0,0,No,no,0,0,0,No,0,OK,9946084345,Male,36,No,No,No,0,No,Two Year,Credit Card,7,427,,
0443JVDX,No,20,87,236.4,0,0,No,no,0,0,8,Yes,0,MD,9743011058,Female,31,No,No,No,0,No,Month-to-Month,Direct Debit,49,973,,
1497NJGC,No,59,141,409.9,0,0,No,no,0,0,26,Yes,0,TX,9508372191,Male,19,Yes,No,No,0,Yes,Month-to-Month,Direct Debit,60,3487,,
5437THZS,No,26,157,315.7,0,0,No,no,0,0,9,Yes,0,MN,9914397082,Female,59,No,No,No,0,No,One Year,Credit Card,52,1363,,
3132ZCXO,No,14,54,180.6,0,0,No,no,0,0,11,Yes,0,DE,9081880608,Female,49,No,No,No,0,No,Month-to-Month,Credit Card,53,733,,
7736ZVZC,No,43,164,472.7,0,0,No,no,0,0,7,Yes,0,WA,9398993671,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,41,1774,,
9013KMUQ,No,34,102,302.2,0,0,No,no,0,0,4,Yes,0,MO,7327085984,Female,62,No,No,No,0,No,One Year,Direct Debit,37,1229,,
3877IZTZ,No,75,126,301.5,0,0,No,no,0,0,12,Yes,0,IN,9941557960,Male,33,No,No,No,0,Yes,Two Year,Credit Card,29,2183,,
5731BGMG,No,65,246,714.4,0,0,No,no,0,0,23,Yes,0,RI,7496535827,Male,22,Yes,No,No,0,Yes,One Year,Credit Card,61,3944,,
6459UAFN,No,1,5,13,11,11.9,Yes,yes,0,0,1,Yes,0,AZ,9672254827,Female,43,No,No,No,0,No,Month-to-Month,Direct Debit,17,17,,
8088BQFU,No,27,219,405,0,0,No,no,0,0,0,No,0,AZ,8983247076,Female,25,Yes,No,No,0,No,One Year,Direct Debit,13,348,,
8737CDBU,No,23,141,295.9,92,404.8,Yes,yes,0,0,1,Yes,0,FL,9846212693,Male,64,No,No,No,0,No,One Year,Direct Debit,37,847,,
6799KEBR,No,59,156,409.6,0,0,No,no,0,0,6,Yes,0,LA,9299660043,Female,48,No,No,No,0,Yes,Month-to-Month,Direct Debit,36,2104,,
0815COLE,No,69,130,346.9,0,0,No,no,0,0,9,Yes,0,FL,9729129505,Male,45,No,No,No,0,Yes,Two Year,Credit Card,19,1302,,
6495MIAB,No,67,250,870.3,0,0,No,no,0,0,6,Yes,0,FL,8271363168,Male,41,No,No,No,0,Yes,Two Year,Direct Debit,32,2174,,
2607EPFH,No,63,266,632.4,0,0,No,no,0,0,5,Yes,0,MD,8836965642,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,51,3242,,
0790HZYB,No,8,42,85.9,0,0,No,no,0,0,18,Yes,0,AL,9329354307,Female,26,Yes,No,No,0,No,Month-to-Month,Direct Debit,34,267,,
8456TAUF,No,74,466,1113.3,0,0,No,no,0,0,0,No,0,TN,9104655141,Female,53,No,No,No,0,No,Two Year,Direct Debit,8,617,,
4418MJGM,No,1,5,13,0,0,No,no,0,0,0,No,0,MS,9187305081,Male,35,No,No,No,0,No,One Year,Direct Debit,10,10,,
7283XTJW,No,11,36,90.7,0,0,No,no,0,0,0,No,0,OK,9370240590,Female,51,No,No,No,0,No,One Year,Direct Debit,8,93,,
0545AFAG,No,25,132,382,0,0,No,no,0,0,15,Yes,0,IN,7531409834,Male,30,No,No,No,0,No,One Year,Paper Check,29,727,,
4672CQIQ,No,31,120,407.8,0,0,No,no,0,0,14,Yes,0,MO,9939075599,Female,26,Yes,No,No,0,Yes,One Year,Paper Check,32,1013,,
2824QJTP,No,30,210,484.7,0,0,No,no,0,0,1,Yes,0,VA,7340923965,Male,66,No,Yes,No,0,No,Month-to-Month,Credit Card,41,1230,,
2093YEMR,No,48,60,192.6,0,0,No,no,0,0,26,No,57,KY,7983467186,Female,22,Yes,No,No,0,No,Two Year,Credit Card,31,1509,,
4429DMVA,No,53,297,746.8,106,556.5,Yes,yes,0,0,1,Yes,0,MD,9425312143,Male,53,No,No,No,0,No,Two Year,Credit Card,65,3452,,
3501GSCQ,No,51,226,609.3,306,561,Yes,yes,0,0,11,Yes,0,OH,7830592480,Male,62,No,No,No,0,No,Month-to-Month,Credit Card,53,2713,,
0353VDEC,No,77,363,928.5,0,0,No,no,0,0,0,No,0,NV,9811438461,Female,66,No,Yes,No,0,No,Two Year,Credit Card,13,1017,,
9944LAXU,No,28,166,390.8,140,252,Yes,yes,0,0,0,No,0,ID,9408781796,Female,46,No,No,No,0,No,Month-to-Month,Direct Debit,14,397,,
5801KQFY,No,10,34,70.7,0,0,No,no,0,0,7,Yes,0,SD,8121327896,Female,44,No,No,No,0,No,Two Year,Paper Check,15,156,,
1998WXQP,No,18,139,285.6,0,0,No,no,0,0,12,Yes,0,IL,7860011298,Male,41,No,No,No,0,No,Month-to-Month,Direct Debit,42,754,,
2723OOHS,No,14,61,129.6,0,0,No,no,0,0,0,No,0,AL,9840417635,Male,43,No,No,No,0,No,Two Year,Paper Check,7,99,,
5956HJOF,No,73,476,953.3,0,0,No,no,0,0,3,Yes,0,NJ,9520443294,Female,36,No,No,No,0,Yes,Two Year,Direct Debit,54,3996,,
2339RNOX,No,72,161,360.7,144,885.6,Yes,yes,0,0,11,Yes,0,NV,9925624214,Male,53,No,No,No,0,Yes,Two Year,Direct Debit,71,5129,,
1422CZKM,No,43,81,213.4,0,0,No,no,0,0,4,Yes,0,IN,8653552089,Female,37,No,No,No,0,No,One Year,Credit Card,31,1306,,
0288QBTS,No,65,258,843.6,0,0,No,no,0,0,13,Yes,0,WV,7770678204,Female,82,No,Yes,No,0,Yes,One Year,Direct Debit,47,3077,,
5972TBZR,No,13,22,93.4,0,0,No,no,0,0,5,Yes,0,VA,9934630325,Female,66,No,Yes,No,0,Yes,One Year,Direct Debit,32,429,,
1843AELD,No,4,23,50.8,0,0,No,no,0,0,6,Yes,0,SC,8868414288,Prefer not to say,70,No,Yes,No,0,No,One Year,Direct Debit,34,123,,
7787NLQX,No,39,124,272.7,0,0,No,no,0,0,8,No,66,RI,8725492094,Male,34,No,No,No,0,Yes,One Year,Paper Check,38,1478,,
5332XPON,No,43,292,694.7,0,0,No,no,0,0,24,Yes,0,NM,7787967001,Male,30,No,No,No,0,Yes,One Year,Direct Debit,41,1798,,
6593HFZC,No,49,220,592.9,0,0,No,no,0,0,15,Yes,0,OR,8947205832,Female,27,Yes,No,No,0,Yes,One Year,Direct Debit,37,1819,,
6255VOJP,No,31,151,346.1,0,0,No,no,0,0,3,Yes,0,MI,8772531579,Male,60,No,No,No,0,Yes,One Year,Credit Card,39,1223,,
8316LFXC,No,10,51,136.2,30,109,Yes,yes,0,0,0,No,0,TX,7724049458,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,10,93,,
3689KQVT,No,69,123,275.7,0,0,No,no,0,0,13,Yes,0,FL,7919430729,Female,21,Yes,No,No,0,Yes,Two Year,Direct Debit,34,2373,,
8942JMZL,No,51,84,202.6,0,0,No,no,0,0,5,No,6,TX,7621012662,Male,49,No,No,No,0,Yes,One Year,Credit Card,54,2733,,
9094UTHL,No,27,89,218.4,0,0,No,no,0,0,5,Yes,0,UT,9182108940,Female,67,No,Yes,No,0,Yes,One Year,Direct Debit,25,672,,
